Лекарь;Андрей Первухин;Обычно путешественники по параллельным мирам отправляются с Земли в другие миры. Однако иногда бывает и наоборот. В этом случае ещё неизвестно, кому будет тяжелее в новом для него мире. Главный герой...;3.88 (307)
Девушка: В одиночку;Блейк Пирс;Чтобы поймать серийного убийцу, нужно думать, как он. Эту нехитрую истину, к сожалению, иногда забывают даже опытные сыщики. А ведь, если ей следовать, можно ловить даже самых опасных и хитрых...;3.52 (1030)
Мастер и Маргарита;Булгаков Михаил Афанасьевич;Роман Михаила Булгакова «Мастер и Маргарита» - одно из величайших произведений русской литературы 20 века. Он очень многогранен, его можно неоднократно перечитывать, каждый раз находя новый смысл. Это...;4.57 (57652)
Преступление и наказание;Достоевский Федор Михайлович;На что способен человек в момент отчаяния, когда нужно срочно искать выход из сложившегося положения? Насколько сильно он готов жертвовать собой? Где грань между величием и ничтожеством? Эти и многие...;4.34 (33245)
Лекарь. Книга вторая;Андрей Первухин;Многим кажется, что маг в нашем мире был бы всемогущим. Но и у него могут быть свои слабые стороны. Так что и маг-попаданец вполне может стать мишенью для врагов. Именно это случилось с главным героем...;4.41 (132)
Путешествия Души;Ньютон Майкл;Жизнь после смерти, судьба человека в потустороннем мире, его душа – эти вопросы волновали человечество во все времена. Ответить на них пытались выдающиеся философы и религиозные деятели. К сожалению,...;4.37 (1022)
Лекарь. Книга четвертая;Андрей Первухин;Обычно попаданцы отправляются в другие миры. Это вполне понятно, потому что не на Земле есть магия или технологии, позволяющие перемещаться между параллельными мирами. Однако иногда случается так, что...;4.51 (134)
Магическая таверна;Татьяна Мещёрская;Расставание с любимым человеком всегда болезненно. Особенно тяжело его переживают женщины, потому что терпеть не могут предательства. Ну, по крайней мере, некоторые из них. Главная героиня романа...;3.99 (141)
Лекарь Книга третья;Андрей Первухин;Магия – это сила в магическом мире. А как маг поведёт себя в нашем мире? Неужели древние заклинания окажутся сильнее пули? Это проверил на себе главный герой книги Андрея Первухина «Лекарь Книга...;4.64 (97)
Свалка;Петракеев Андрей Алексеевич;Получать наследство – процесс приятный. Однако многое зависит от того, что досталось наследнику. А что, если это – свалка? И не просто банальная свалка, каких множество, а целая планета? Главному...;4.21 (374)
