"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00083909","HIALEAH, FL US","2023-01-01","85",",,7","68",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-02","83",",,7","64",",,7","73",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-03","84",",,7","69",",,7","75",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-04","81",",,7","74",",,7","75",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-05","83",",,7","72",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-06","84",",,7","66",",,7","68",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-07","77",",,7","60",",,7","61",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-08","80",",,7","61",",,7","70",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-09","81",",,7","63",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-10","79",",,7","60",",,7","63",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-11","79",",,7","56",",,7","56",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-12","77",",,7","56",",,7","61",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-13","79",",,7","61",",,7","65",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-14","80",",,7","48",",,7","48",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-15","62",",,7","44",",,7","44",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-16","71",",,7","44",",,7","58",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-17","73",",,7","44",",,7","57",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-18","74",",,7","57",",,7","60",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-19","78",",,7","60",",,7","66",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-20","82",",,7","66",",,7","68",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-21","82",",,7","67",",,7","68",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-22","84",",,7","68",",,7","80",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-23","85",",,7","68",",,7","80",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-24","86",",,7","68",",,7","72",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-25","78",",,7","72",",,7","75",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-26","83",",,7","72",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-27","81",",,7","63",",,7","64",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-28","70",",,7","60",",,7","70",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-29","82",",,7","70",",,7","77",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-30","83",",,7","71",",,7","77",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-01-31","82",",,7","69",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-01","83",",,7","69",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-02","84",",,7","69",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-03","83",",,7","68",",,7","70",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-04","87",",,7","63",",,7","64",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-05","80",",,7","64",",,7","73",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-06","86",",,7","66",",,7","76",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-07","82",",,7","64",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-08","77",",,7","69",",,7","72",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-09","78",",,7","72",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-10","80",",,7","74",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-11","81",",,7","72",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-12","83",",,7","58",",,7","58",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-13","83",",,7","58",",,7","58",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-14","83",",,7","57",",,7","58",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-15","76",",,7","58",",,7","73",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-16","80",",,7","73",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-17","81",",,7","74",",,7","75",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-18","82",",,7","70",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-19","83",",,7","70",",,7","83",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-20","84",",,7","69",",,7","84",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-21","84",",,7","68",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-22","84",",,7","69",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-23","83",",,7","74",",,7","76",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-24","84",",,7","69",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-25","83",",,7","69",",,7","70",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-26","86",",,7","64",",,7","74",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-27","86",",,7","65",",,7","84",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-02-28","85",",,7","66",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-01","87",",,7","65",",,7","66",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-02","84",",,7","66",",,7","83",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-04","85",",,7","66",",,7","79",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-05","88",",,7","68",",,7","85",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-06","89",",,7","70",",,7","88",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-07","89",",,7","69",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-08","89",",,7","71",",,7","76",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-09","86",",,7","71",",,7","73",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-10","78",",,7","66",",,7","67",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-11","80",",,7","67",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-12","88",",,7","66",",,7","85",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-13","89",",,7","70",",,7","88",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-14","88",",,7","67",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-15","83",",,7","65",",,7","66",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-16","74",",,7","60",",,7","62",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-17","74",",,7","62",",,7","69",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-18","79",",,7","68",",,7","77",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-19","85",",,7","70",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-20","79",",,7","59",",,7","59",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-21","75",",,7","59",",,7","60",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-22","77",",,7","60",",,7","66",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-23","79",",,7","66",",,7","72",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-25","83",",,7","71",",,7","75",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-26","86",",,7","73",",,7","86",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-27","87",",,7","74",",,7","86",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-28","86",",,7","75",",,7","76",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-29","88",",,7","71",",,7","72",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-30","86",",,7","70",",,7","71",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-03-31","79",",,7","71",",,7","72",",,7,0800"
"USC00083909","HIALEAH, FL US","2023-04-01","81",",,H","72",",,H","75",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-02","88",",,H","71",",,H","86",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-04","89",",,H","72",",,H","77",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-05","85",",,H","76",",,H","77",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-06","85",",,H","76",",,H","77",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-07","84",",,H","76",",,H","76",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-08","83",",,H","74",",,H","77",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-09","87",",,H","71",",,H","86",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-10","86",",,H","68",",,H","72",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-11","86",",,H","69",",,H","72",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-13","75",",,H","70",",,H","74",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-14","86",",,H","71",",,H","72",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-15","88",",,H","72",",,H","75",",,H,0800"
"USC00083909","HIALEAH, FL US","2023-04-16","88",",,H","73",",,H","86",",,H,0800"
